Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
AASS	aminoadipate-semialdehyde synthase	10157	MGI:1353573	NM_005763
AATBC	apoptosis associated transcript in bladder cancer	284837		NR_026961
AATF	apoptosis antagonizing transcription factor	26574	MGI:1929608	NM_012138
AATK	apoptosis associated tyrosine kinase	9625	MGI:1197518	NM_004920
AAVS1	adeno-associated virus integration site 1	17		
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294		NR_131907
ABAT	4-aminobutyrate aminotransferase	18	MGI:2443582	NM_020686
ABC1~withdrawn	symbol withdrawn, see ABCA1			
ABC2~withdrawn	symbol withdrawn, see ABCA2			
ABC3~withdrawn	symbol withdrawn, see ABCA3			
ABC7~withdrawn	symbol withdrawn, see ABCB7			
ABC50~withdrawn	symbol withdrawn, see ABCF1			
ABCA1	ATP binding cassette subfamily A member 1	19	MGI:99607	NM_005502
ABCA2	ATP binding cassette subfamily A member 2	20	MGI:99606	NM_001606
ABCA3	ATP binding cassette subfamily A member 3	21	MGI:1351617	NM_001089
ABCA4	ATP binding cassette subfamily A member 4	24	MGI:109424	NM_000350
ABCA5	ATP binding cassette subfamily A member 5	23461	MGI:2386607	NM_018672
ABCA6	ATP binding cassette subfamily A member 6	23460	MGI:1923434	NM_080284
ABCA7	ATP binding cassette subfamily A member 7	10347	MGI:1351646	NM_019112
ABCA8	ATP binding cassette subfamily A member 8	10351	MGI:1351668, MGI:2386846	NM_007168
ABCA9	ATP binding cassette subfamily A member 9	10350	MGI:2386796	NM_172386
ABCA9-AS1	ABCA9 antisense RNA 1			
ABCA10	ATP binding cassette subfamily A member 10	10349		NM_080282
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963		NR_002451.2
ABCA12	ATP binding cassette subfamily A member 12	26154	MGI:2676312	NM_173076
ABCA13	ATP binding cassette subfamily A member 13	154664	MGI:2388707	NM_152701
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	MGI:3625331	NR_003574
ABCB1	ATP binding cassette subfamily B member 1	5243	MGI:97570	NM_000927
ABCB2~withdrawn	symbol withdrawn, see TAP1			
ABCB3~withdrawn	symbol withdrawn, see TAP2			
ABCB4	ATP binding cassette subfamily B member 4	5244	MGI:97569	NM_000443
ABCB5	ATP binding cassette subfamily B member 5	340273	MGI:1924956	NM_178559
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	MGI:1921354	NM_005689
ABCB7	ATP binding cassette subfamily B member 7	22	MGI:109533	NM_004299
ABCB8	ATP binding cassette subfamily B member 8	11194	MGI:1351667	NM_007188
ABCB9	ATP binding cassette subfamily B member 9	23457	MGI:1861729	NM_019624
ABCB10	ATP binding cassette subfamily B member 10	23456	MGI:1860508	NM_012089
ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	56476		
ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1			
ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3	728248		
ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4	100132289		
ABCB11	ATP binding cassette subfamily B member 11	8647	MGI:1351619	NM_003742
ABCC1	ATP binding cassette subfamily C member 1	4363	MGI:102676	NM_004996
ABCC2	ATP binding cassette subfamily C member 2	1244	MGI:1352447	NM_000392
ABCC3	ATP binding cassette subfamily C member 3	8714	MGI:1923658	NM_020038
ABCC4	ATP binding cassette subfamily C member 4	10257	MGI:2443111	NM_005845
ABCC5	ATP binding cassette subfamily C member 5	10057	MGI:1351644	NM_005688
ABCC5-AS1	ABCC5 antisense RNA 1			
ABCC6	ATP binding cassette subfamily C member 6	368	MGI:1351634	
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190		NR_003569
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013		NR_023387
ABCC7~withdrawn	symbol withdrawn, see CFTR			
ABCC8	ATP binding cassette subfamily C member 8	6833	MGI:1352629	NM_000352
ABCC9	ATP binding cassette subfamily C member 9	10060	MGI:1352630	NM_005691
ABCC10	ATP binding cassette subfamily C member 10	89845	MGI:2386976	NM_033450
ABCC11	ATP binding cassette subfamily C member 11	85320		NM_032583
ABCC12	ATP binding cassette subfamily C member 12	94160	MGI:2441679	NM_033226
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000		
ABCD1	ATP binding cassette subfamily D member 1	215	MGI:1349215	NM_000033
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785		
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983		
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982		
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957		
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762		
ABCD2	ATP binding cassette subfamily D member 2	225	MGI:1349467	NM_005164
ABCD3	ATP binding cassette subfamily D member 3	5825	MGI:1349216	NM_002858
ABCD4	ATP binding cassette subfamily D member 4	5826	MGI:1349217	NM_005050
ABCE1	ATP binding cassette subfamily E member 1	6059	MGI:1195458	NM_002940
ABCF1	ATP binding cassette subfamily F member 1	23	MGI:1351658	
ABCF1-DT	ABCF1 divergent transcript	107986587		
ABCF2	ATP binding cassette subfamily F member 2	10061	MGI:1351657	NM_005692
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653		
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059		
ABCF3	ATP binding cassette subfamily F member 3	55324	MGI:1351656	NM_018358
ABCG1	ATP binding cassette subfamily G member 1	9619	MGI:107704	NM_207174
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	MGI:1347061	NM_004827
ABCG4	ATP binding cassette subfamily G member 4	64137	MGI:1890594	NM_022169
ABCG5	ATP binding cassette subfamily G member 5	64240	MGI:1351659	NM_022436
ABCG8	ATP binding cassette subfamily G member 8	64241	MGI:1914720	NM_022437
ABCR~withdrawn	symbol withdrawn, see ABCA4			
ABHD1	abhydrolase domain containing 1	84696	MGI:1931013	NM_032604
ABHD2	abhydrolase domain containing 2	11057	MGI:1914344	
ABHD3	abhydrolase domain containing 3	171586	MGI:2147183	
ABHD4	abhydrolase domain containing 4	63874	MGI:1915938	
ABHD5	abhydrolase domain containing 5	51099	MGI:1914719	NM_016006
ABHD6	abhydrolase domain containing 6	57406	MGI:1913332	NM_020676
ABHD8	abhydrolase domain containing 8	79575	MGI:1918946	NM_024527
ABHD10	abhydrolase domain containing 10	55347	MGI:2442422	NM_018394
ABHD11	abhydrolase domain containing 11	83451	MGI:1916008	
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	171022		NR_026690
ABHD11-AS2~withdrawn	entry withdrawn			
ABHD12	abhydrolase domain containing 12	26090	MGI:1923442	NM_015600
ABHD12B	abhydrolase domain containing 12B	145447	MGI:2685650	
ABHD13	abhydrolase domain containing 13	84945	MGI:1916154	NM_032859
ABHD14A	abhydrolase domain containing 14A	25864	MGI:1915894	NM_015407
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760		
ABHD14B	abhydrolase domain containing 14B	84836	MGI:1923741	NM_032750
ABHD15	abhydrolase domain containing 15	116236	MGI:1914727	NM_198147
ABHD15-AS1	ABHD15 antisense RNA 1			
ABHD16A	abhydrolase domain containing 16A	7920	MGI:99476	
ABHD16B	abhydrolase domain containing 16B	140701	MGI:3607711	
ABHD17A	abhydrolase domain containing 17A	81926	MGI:106388	NM_031213
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	728917		NG_011738
ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1			
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	648359		XR_041784
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	729495		
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	91219		
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	644988		
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	100133212		
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	647144		
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	100132251		
ABHD17B	abhydrolase domain containing 17B	51104	MGI:1917816	NM_016014
ABHD17C	abhydrolase domain containing 17C	58489	MGI:1917428	NM_021214
ABHD18	abhydrolase domain containing 18	80167	MGI:1915468	NM_001039717
ABI1	abl interactor 1	10006	MGI:104913	NM_005470
ABI1P1	abl interactor 1 pseudogene 1	326268		
ABI2	abl interactor 2	10152	MGI:106913	NM_005759
ABI3	ABI family member 3	51225	MGI:1913860	NM_016428
ABI3BP	ABI family member 3 binding protein	25890	MGI:2444583	
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	MGI:87859	NM_007313
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	MGI:87860	NM_005158
ABLIM1	actin binding LIM protein 1	3983	MGI:1194500	
ABLIM2	actin binding LIM protein family member 2	84448	MGI:2385758	NM_001130083
ABLIM3	actin binding LIM protein family member 3	22885	MGI:2442582	NM_014945
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	MGI:2135738	NM_020469
ABR	active BCR-related	29	MGI:107771	
ABRA	actin binding Rho activating protein	137735	MGI:2444891	NM_139166
ABRACL	ABRA C-terminal like	58527	MGI:1920362	NM_021243
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	MGI:1917931	NM_139076
ABRAXAS2	abraxas 2, BRISC complex subunit	23172	MGI:1926116	NM_032182
ABT1	activator of basal transcription 1	29777	MGI:1353636	
ABT1P1	activator of basal transcription 1 pseudogene 1	100420695		NG_025142
ABTB1	ankyrin repeat and BTB domain containing 1	80325	MGI:1933148	NM_172027
ABTB2	ankyrin repeat and BTB domain containing 2	25841	MGI:2139365	NM_145804
ACAA1	acetyl-CoA acyltransferase 1	30	MGI:2148491, MGI:3605455	NM_001607
ACAA2	acetyl-CoA acyltransferase 2	10449	MGI:1098623	NM_006111
ACACA	acetyl-CoA carboxylase alpha	31	MGI:108451	NM_198836
ACACB	acetyl-CoA carboxylase beta	32	MGI:2140940	NM_001093
ACAD~withdrawn	entry withdrawn			
ACAD8	acyl-CoA dehydrogenase family member 8	27034	MGI:1914198	NM_014384
ACAD9	acyl-CoA dehydrogenase family member 9	28976	MGI:1914272	NM_014049
ACAD10	acyl-CoA dehydrogenase family member 10	80724	MGI:1919235	NM_025247
ACAD11	acyl-CoA dehydrogenase family member 11	84129	MGI:2143169	NM_032169
ACADL	acyl-CoA dehydrogenase long chain	33	MGI:87866	NM_001608
ACADM	acyl-CoA dehydrogenase medium chain	34	MGI:87867	
ACADS	acyl-CoA dehydrogenase short chain	35	MGI:87868	NM_000017
ACADSB	acyl-CoA dehydrogenase short/branched chain	36	MGI:1914135	NM_001609
ACADVL	acyl-CoA dehydrogenase very long chain	37	MGI:895149	NM_000018
ACAN	aggrecan	176	MGI:99602	NM_001135
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	MGI:2388270	NM_014716
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	MGI:1925868	NM_012287
ACAP2-IT1	ACAP2 intronic transcript 1			
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	MGI:2153589	NM_030649
ACAT1	acetyl-CoA acetyltransferase 1	38	MGI:87870	NM_000019
ACAT2	acetyl-CoA acetyltransferase 2	39	MGI:87871, MGI:109182	NM_005891
ACBD3	acyl-CoA binding domain containing 3	64746	MGI:2181074	NM_022735
ACBD3-AS1	ACBD3 antisense RNA 1	107985353		NR_146443
ACBD4	acyl-CoA binding domain containing 4	79777	MGI:1914381	NM_024722
ACBD5	acyl-CoA binding domain containing 5	91452	MGI:1921409	NM_145698
ACBD6	acyl-CoA binding domain containing 6	84320	MGI:1919732	NM_032360
ACBD7	acyl-CoA binding domain containing 7	414149	MGI:1925495	
ACBP~withdrawn	symbol withdrawn, see CPN2			
ACC~withdrawn	symbol withdrawn, see ACACA			
ACCN~withdrawn	symbol withdrawn, see ASIC2			
ACCPN~withdrawn	symbol withdrawn, see SLC12A6			
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	MGI:1919717	NM_032592
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	MGI:3584519	NM_001031854
ACD	ACD, shelterin complex subunit and telomerase recruitment factor	65057	MGI:87873	NM_022914
ACE	angiotensin I converting enzyme	1636	MGI:87874	
ACE2	angiotensin I converting enzyme 2	59272	MGI:1917258	
ACE3P	angiotensin I converting enzyme 3, pseudogene	100129123	MGI:3644400	
ACER1	alkaline ceramidase 1	125981	MGI:2181962	NM_133492
ACER2	alkaline ceramidase 2	340485	MGI:1920932	NM_001010887
ACER3	alkaline ceramidase 3	55331	MGI:1913440	NM_018367
ACH~withdrawn	symbol withdrawn, see FGFR3			
ACHAP~withdrawn	symbol withdrawn, see CUTA			
ACHE	acetylcholinesterase (Cartwright blood group)	43	MGI:87876	NM_015831
ACHM1~withdrawn	symbol withdrawn, see CNGB3			
ACHM2~withdrawn	symbol withdrawn, see CNGA3			
ACHM3~withdrawn	symbol withdrawn, see CNGB3			
ACHRD~withdrawn	symbol withdrawn, see CHRND			
ACHRG~withdrawn	symbol withdrawn, see CHRNG			
ACIN1	apoptotic chromatin condensation inducer 1	22985	MGI:1891824	NM_014977
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	MGI:1097689	NM_002036
ACKR2	atypical chemokine receptor 2	1238	MGI:1891697	NM_001296
ACKR3	atypical chemokine receptor 3	57007	MGI:109562	NM_020311
ACKR4	atypical chemokine receptor 4	51554	MGI:2181676	NM_016557
ACLS	acrocallosal syndrome	46		
ACLY	ATP citrate lyase	47	MGI:103251	NM_001096
ACMG~withdrawn	entry withdrawn			
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	MGI:2386323	
ACO1	aconitase 1	48	MGI:87879	NM_002197
ACO2	aconitase 2	50	MGI:87880	NM_001098
ACOD1	aconitate decarboxylase 1	730249	MGI:103206	NM_001258406
ACOT1	acyl-CoA thioesterase 1	641371	MGI:1349396	NM_001037161
ACOT2	acyl-CoA thioesterase 2	10965	MGI:2159605	NM_006821
ACOT4	acyl-CoA thioesterase 4	122970	MGI:2159621	NM_152331
ACOT6	acyl-CoA thioesterase 6	641372	MGI:1921287	NM_001037162
ACOT7	acyl-CoA thioesterase 7	11332	MGI:1917275	NM_007274
ACOT8	acyl-CoA thioesterase 8	10005	MGI:2158201	NM_183386
ACOT9	acyl-CoA thioesterase 9	23597	MGI:1928939	NM_012332
ACOT11	acyl-CoA thioesterase 11	26027	MGI:1913736	NM_015547
ACOT12	acyl-CoA thioesterase 12	134526	MGI:1921406	NM_130767
ACOT13	acyl-CoA thioesterase 13	55856	MGI:1914084	NM_018473
ACOX1	acyl-CoA oxidase 1	51	MGI:1330812	
ACOX2	acyl-CoA oxidase 2	8309	MGI:1934852	NM_003500
ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	MGI:1933156	
ACOXL	acyl-CoA oxidase like	55289	MGI:1921371	NM_018308
ACOXL-AS1	ACOXL antisense RNA 1	400997		NR_122074
ACP1	acid phosphatase 1	52	MGI:87881	NM_004300
ACP2	acid phosphatase 2, lysosomal	53	MGI:87882	NM_001610
ACP4	acid phosphatase 4	93650	MGI:3644563	NM_033068
ACP5	acid phosphatase 5, tartrate resistant	54	MGI:87883	
ACP6	acid phosphatase 6, lysophosphatidic	51205	MGI:1931010	NM_016361
ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	MGI:2142121	NM_001004318
ACPP	acid phosphatase, prostate	55	MGI:1928480	NM_001099
ACR	acrosin	49	MGI:87884	NM_001097
ACRBP	acrosin binding protein	84519	MGI:1859515	NM_032489
ACRV1	acrosomal vesicle protein 1	56	MGI:104590	NM_001612
ACS3~withdrawn	symbol withdrawn, see TWIST1			
ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	MGI:2385656	NM_015162
ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	MGI:3587728	NM_030924
ACSF2	acyl-CoA synthetase family member 2	80221	MGI:2388287	NM_025149
ACSF3	acyl-CoA synthetase family member 3	197322	MGI:2182591	NM_174917
ACSL1	acyl-CoA synthetase long chain family member 1	2180	MGI:102797	NM_001995
ACSL3	acyl-CoA synthetase long chain family member 3	2181	MGI:1921455	NM_004457
ACSL4	acyl-CoA synthetase long chain family member 4	2182	MGI:1354713	NM_004458
ACSL5	acyl-CoA synthetase long chain family member 5	51703	MGI:1919129	NM_016234
ACSL6	acyl-CoA synthetase long chain family member 6	23305	MGI:894291	NM_015256
ACSM1	acyl-CoA synthetase medium chain family member 1	116285	MGI:2152200	NM_052956
ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	MGI:2385289	NM_001010845
ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	MGI:2385289	NM_182617
ACSM3	acyl-CoA synthetase medium chain family member 3	6296	MGI:99538	NM_005622
ACSM4	acyl-CoA synthetase medium chain family member 4	341392	MGI:2681844	NM_001080454
ACSM5	acyl-CoA synthetase medium chain family member 5	54988	MGI:2444086	NM_017888
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	100421779		NG_026352
ACSM6	acyl-CoA synthetase medium chain family member 6	142827		NM_207321
ACSS1	acyl-CoA synthetase short chain family member 1	84532	MGI:1915988	NM_032501
ACSS2	acyl-CoA synthetase short chain family member 2	55902	MGI:1890410	NM_018677
ACSS3	acyl-CoA synthetase short chain family member 3	79611	MGI:2685720	NM_024560
ACTA1	actin, alpha 1, skeletal muscle	58	MGI:87902	NM_001100
ACTA2	actin, alpha 2, smooth muscle, aorta	59	MGI:87909	NM_001613
ACTA2-AS1	ACTA2 antisense RNA 1	100132116		
ACTA3~withdrawn	symbol withdrawn, see ACTG2			
ACTB	actin beta	60	MGI:87904	NM_001101
ACTBL2	actin, beta like 2	345651	MGI:2444552	NM_001017992
ACTBP1	actin, beta pseudogene 1	643309		NG_022596
ACTBP2	actin, beta pseudogene 2	62		NG_003019
ACTBP3	actin, beta pseudogene 3	63		
ACTBP4	actin, beta pseudogene 4	64		
ACTBP5~withdrawn	entry withdrawn			
ACTBP6	actin, beta pseudogene 6	66		NG_008793
ACTBP7	actin, beta pseudogene 7	67		
ACTBP8	actin, beta pseudogene 8	68		NG_000840
ACTBP9	actin, beta pseudogene 9	69		NG_003162
ACTBP10	actin, beta pseudogene 10	446207		
ACTBP11	actin, beta pseudogene 11	644220		
ACTBP12	actin, beta pseudogene 12	100462767		NG_026958
ACTBP13	actin, beta pseudogene 13	389120		
ACTBP14	actin, beta pseudogene 14	389976		NG_022182
ACTC1	actin, alpha, cardiac muscle 1	70	MGI:87905	NM_005159
ACTG1	actin gamma 1	71	MGI:87906	NM_001614
ACTG1P1	actin gamma 1 pseudogene 1	73		NG_001068
ACTG1P2	actin gamma 1 pseudogene 2	74		NG_004636
ACTG1P3	actin gamma 1 pseudogene 3	75		NG_000842
ACTG1P4	actin gamma 1 pseudogene 4	648740		
ACTG1P6	actin gamma 1 pseudogene 6	78		
ACTG1P7	actin gamma 1 pseudogene 7	79		
ACTG1P8	actin gamma 1 pseudogene 8	80		
ACTG1P9	actin gamma 1 pseudogene 9	82		NG_001069
ACTG1P10	actin gamma 1 pseudogene 10	83		NG_003039
ACTG1P11	actin gamma 1 pseudogene 11	414754		NG_004636
ACTG1P12	actin gamma 1 pseudogene 12	100418921		
ACTG1P13	actin gamma 1 pseudogene 13	100418920		
ACTG1P14	actin gamma 1 pseudogene 14	100418910		NG_023870
ACTG1P15	actin gamma 1 pseudogene 15	100418951		
ACTG1P16	actin gamma 1 pseudogene 16	100418960		
ACTG1P17	actin gamma 1 pseudogene 17	283693		
ACTG1P18	actin gamma 1 pseudogene 18	100418924		
ACTG1P19	actin gamma 1 pseudogene 19	644160		
ACTG1P20	actin gamma 1 pseudogene 20	644961		
ACTG1P21	actin gamma 1 pseudogene 21	100131291		
ACTG1P22	actin gamma 1 pseudogene 22	100131953		
ACTG1P23	actin gamma 1 pseudogene 23	442097		
ACTG1P24	actin gamma 1 pseudogene 24	441783		
ACTG2	actin, gamma 2, smooth muscle, enteric	72	MGI:104589	NM_001615
ACTL2~withdrawn	symbol withdrawn, see ACTG1P2			
ACTL3~withdrawn	symbol withdrawn, see ACTG2			
ACTL4~withdrawn	entry withdrawn			
ACTL5~withdrawn	entry withdrawn			
ACTL6A	actin like 6A	86	MGI:1861453	NM_004301
ACTL6B	actin like 6B	51412	MGI:1933548	NM_016188
ACTL7A	actin like 7A	10881	MGI:1343051	NM_006687
ACTL7B	actin like 7B	10880	MGI:1343053	NM_006686
ACTL8	actin like 8	81569		NM_030812
ACTL9	actin like 9	284382	MGI:1916731	NM_178525
ACTL10	actin like 10	170487	MGI:1917612	
ACTN1	actinin alpha 1	87	MGI:2137706	NM_001102
ACTN1-AS1	ACTN1 antisense RNA 1	161159		
ACTN2	actinin alpha 2	88	MGI:109192	NM_001103
ACTN3	actinin alpha 3 (gene/pseudogene)	89	MGI:99678	NM_001104
ACTN4	actinin alpha 4	81	MGI:1890773	
ACTN4P1	actinin alpha 4 pseudogene 1	344978		
ACTN4P2	actinin alpha 4 pseudogene 2	391026		
ACTP1	actin family pseudogene 1			
ACTR1A	ARP1 actin related protein 1 homolog A	10121	MGI:1858964	
ACTR1B	ARP1 actin related protein 1 homolog B	10120	MGI:1917446	NM_005735
ACTR2	ARP2 actin related protein 2 homolog	10097	MGI:1913963	NM_001005386
ACTR3	ARP3 actin related protein 3 homolog	10096	MGI:1921367	NM_005721
ACTR3B	ARP3 actin related protein 3 homolog B	57180	MGI:2661120	NM_020445
ACTR3BP1	ACTR3B pseudogene 1	643050		NG_005799
ACTR3BP2	ACTR3B pseudogene 2	440888		
ACTR3BP3	ACTR3B pseudogene 3	647156		
ACTR3BP4	ACTR3B pseudogene 4	777774		
ACTR3BP5	ACTR3B pseudogene 5	399746		
ACTR3BP6	ACTR3B pseudogene 6	644773		
ACTR3C	ARP3 actin related protein 3 homolog C	653857		
ACTR3P1	ACTR3 pseudogene 1	100288580		
ACTR3P2	ACTR3 pseudogene 2	100129013		
ACTR3P3	ACTR3 pseudogene 3	100128020		
ACTR5	ARP5 actin related protein 5 homolog	79913	MGI:1924748	NM_024855
ACTR6	ARP6 actin related protein 6 homolog	64431	MGI:1914269	NM_022496
ACTR6P1	ACTR6 pseudogene 1	100421495		NG_025147
ACTR8	ARP8 actin related protein 8 homolog	93973	MGI:1860775	NM_022899
ACTR10	actin related protein 10 homolog	55860	MGI:1891654	
ACTRT1	actin related protein T1	139741	MGI:1920610	NM_138289
ACTRT2	actin related protein T2	140625	MGI:1920603	NM_080431
ACTRT3	actin related protein T3	84517	MGI:1923902	NM_032487
ACVR1	activin A receptor type 1	90	MGI:87911	NM_001105
ACVR1B	activin A receptor type 1B	91	MGI:1338944	NM_020328
ACVR1C	activin A receptor type 1C	130399	MGI:2661081	NM_145259
ACVR2A	activin A receptor type 2A	92	MGI:102806	NM_001616
ACVR2B	activin A receptor type 2B	93	MGI:87912	NM_001106
ACVR2B-AS1	ACVR2B antisense RNA 1	100128640		NR_028389
ACVRL1	activin A receptor like type 1	94	MGI:1338946	NM_000020
ACVRLK2~withdrawn	symbol withdrawn, see ACVR1			
ACY1	aminoacylase 1	95	MGI:87913	NM_000666
ACY1L~withdrawn	symbol withdrawn, see CCDC102B			
ACY3	aminoacylase 3	91703	MGI:1918920	NM_080658
ACYP1	acylphosphatase 1	97	MGI:1913454	
ACYP2	acylphosphatase 2	98	MGI:1922822	
AD1~withdrawn	symbol withdrawn, see APP			
AD2~withdrawn	symbol withdrawn, see APOE			
AD3~withdrawn	symbol withdrawn, see PSEN1			
AD4~withdrawn	symbol withdrawn, see PSEN2			
AD5	Alzheimer disease 5			
ADA	adenosine deaminase	100	MGI:87916	NM_000022
ADA2	adenosine deaminase 2	51816		
ADAD1	adenosine deaminase domain containing 1	132612	MGI:103258	NM_139243
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1	100422386		
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2	100422407		
ADAD2	adenosine deaminase domain containing 2	161931	MGI:1923023	NM_139174
ADAL	adenosine deaminase like	161823	MGI:1923144	NM_001324366
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	8759	MGI:2429504	NG_001216
